number,crowd_score
1348,-0.05
1547,-0.05
1546,-0.05
5384,-0.05
1543,-0.05
1542,-0.05
1540,-0.05
8034,-0.05
1534,-0.05
3614,-0.05
5143,-0.05
1524,-0.05
3624,-0.05
6549,-0.05
8041,-0.05
8042,-0.05
8043,-0.05
8045,-0.05
6547,-0.05
8047,-0.05
8049,-0.05
5142,-0.05
9724,-0.05
5140,-0.05
6543,-0.05
6542,-0.05
6541,-0.05
6540,-0.05
1548,-0.05
1504,-0.05
1549,-0.05
6574,-0.05
9541,-0.05
3546,-0.05
1604,-0.05
3547,-0.05
3548,-0.05
3549,-0.05
9542,-0.05
9543,-0.05
5149,-0.05
5148,-0.05
7984,-0.05
9546,-0.05
1594,-0.05
9547,-0.05
9548,-0.05
5147,-0.05
6594,-0.05
1584,-0.05
3564,-0.05
3574,-0.05
1574,-0.05
5146,-0.05
8014,-0.05
3584,-0.05
1564,-0.05
3594,-0.05
8024,-0.05
3604,-0.05
9540,-0.05
3640,-0.05
8054,-0.05
1457,-0.05
1456,-0.05
1453,-0.05
1452,-0.05
6524,-0.05
1450,-0.05
5394,-0.05
5401,-0.05
1439,-0.05
1438,-0.05
1437,-0.05
1436,-0.05
1435,-0.05
5402,-0.05
3674,-0.05
1432,-0.05
8074,-0.05
1430,-0.05
1429,-0.05
1428,-0.05
1427,-0.05
1426,-0.05
1425,-0.05
1423,-0.05
1420,-0.05
6514,-0.05
3694,-0.05
1458,-0.05
3641,-0.05
1459,-0.05
1462,-0.05
3642,-0.05
1497,-0.05
3645,-0.05
1495,-0.05
5634,-0.05
1493,-0.05
3647,-0.05
3649,-0.05
1489,-0.05
1487,-0.05
1485,-0.05
1483,-0.05
1482,-0.05
6534,-0.05
1480,-0.05
1479,-0.05
1478,-0.05
3654,-0.05
1476,-0.05
1475,-0.05
1473,-0.05
1472,-0.05
1470,-0.05
1469,-0.05
1467,-0.05
1465,-0.05
1463,-0.05
1460,-0.05
8094,-0.05
3542,-0.05
3540,-0.05
3420,-0.05
3421,-0.05
9401,-0.05
3425,-0.05
3426,-0.05
3427,-0.05
3428,-0.05
1754,-0.05
3429,-0.05
6724,-0.05
1749,-0.05
1748,-0.05
1746,-0.05
1745,-0.05
1743,-0.05
1742,-0.05
7894,-0.05
1740,-0.05
1734,-0.05
5164,-0.05
6714,-0.05
5784,-0.05
3450,-0.05
1724,-0.05
3451,-0.05
7904,-0.05
3452,-0.05
1764,-0.05
3456,-0.05
3419,-0.05
3418,-0.05
5643,-0.05
6749,-0.05
6745,-0.05
6743,-0.05
7854,-0.05
6742,-0.05
9734,-0.05
1794,-0.05
6741,-0.05
6740,-0.05
5642,-0.05
6734,-0.05
3401,-0.05
3402,-0.05
1784,-0.05
3405,-0.05
3406,-0.05
3407,-0.05
3408,-0.05
3409,-0.05
3410,-0.05
9406,-0.05
9405,-0.05
3412,-0.05
3415,-0.05
3416,-0.05
3417,-0.05
9402,-0.05
3541,-0.05
3457,-0.05
7914,-0.05
9514,-0.05
7934,-0.05
3504,-0.05
7940,-0.05
7941,-0.05
7942,-0.05
7943,-0.05
5374,-0.05
7945,-0.05
7946,-0.05
1654,-0.05
5640,-0.05
1649,-0.05
1647,-0.05
7948,-0.05
1645,-0.05
3514,-0.05
1643,-0.05
1642,-0.05
1640,-0.05
1634,-0.05
9524,-0.05
3524,-0.05
1624,-0.05
7954,-0.05
9534,-0.05
7964,-0.05
1674,-0.05
3458,-0.05
3497,-0.05
3491,-0.05
3459,-0.05
3460,-0.05
3461,-0.05
3462,-0.05
3465,-0.05
3467,-0.05
1704,-0.05
3469,-0.05
3470,-0.05
3471,-0.05
3472,-0.05
7924,-0.05
9854,-0.05
3475,-0.05
3476,-0.05
1694,-0.05
3478,-0.05
3479,-0.05
3480,-0.05
5641,-0.05
3481,-0.05
3482,-0.05
6704,-0.05
3485,-0.05
3487,-0.05
5794,-0.05
3489,-0.05
3495,-0.05
1804,-0.05
9384,-0.05
1408,-0.05
8345,-0.05
3940,-0.05
8347,-0.05
8349,-0.05
3941,-0.05
3942,-0.05
8354,-0.05
3945,-0.05
3946,-0.05
3947,-0.05
3948,-0.05
9364,-0.05
3954,-0.05
8374,-0.05
6374,-0.05
3964,-0.05
8394,-0.05
1094,-0.05
3974,-0.05
1084,-0.05
8401,-0.05
8402,-0.05
3984,-0.05
6354,-0.05
1074,-0.05
5426,-0.05
8405,-0.05
5423,-0.05
5824,-0.05
8342,-0.05
8340,-0.05
8247,-0.05
8249,-0.05
6417,-0.05
6415,-0.05
8254,-0.05
6413,-0.05
6412,-0.05
6410,-0.05
6409,-0.05
3894,-0.05
6407,-0.05
6405,-0.05
8274,-0.05
3904,-0.05
5420,-0.05
8294,-0.05
6402,-0.05
