date,train_window_days,top,diversity_prefix,max_per_bucket,alpha,train_bucket,target_buckets,use_pairs,use_posdigit,w_posdigit,posdigit_positions,posdigit_alpha,w_digits,w_pairs,train_n_obs,hits_count,any_hit,hits,picks
2025-01-04,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,3,0,0,,"0301,0346,0352,3501,3546,3552,4001,4046,4052,0001,0046,0052,0501,0546,0552,3001,3046,3052,3301,3346,3352,4301,4346,4352,4501,4546,4552,0101,0146,0152,0201,0246,0252,0401,0446,0452,0601,0646,0652,0701,0746,0752,0801,0846,0852,0901,0946,0952,1001,1046,1052,1301,1346,1352,1501,1546,1552,2001,2046,2052,2301,2346,2352,2501,2546,2552,3101,3146,3152,3201,3246,3252,3401,3446,3452,3601,3646,3652,3701,3746,3752,3801,3846,3852,3901,3946,3952,4101,4146,4152,4201,4246,4252,4401,4446,4452,4601,4646,4652,4701,4746,4752,4801,4846,4852,4901,4946,4952,5001,5046,5052,5301,5346,5352,5501,5546,5552,6001,6046,6052,6301,6346,6352,6501,6546,6552,7001,7046,7052,7301,7346,7352,7501,7546,7552,8001,8046,8052,8301,8346,8352,8501,8546,8552,9001,9046,9052,9301,9346,9352,9501,9546,9552,1101,1146,1152,1201,1246,1252,1401,1446,1452,1601,1646,1652,1701,1746,1752,1801,1846,1852,1901,1946,1952,2101,2146,2152,2201,2246,2252,2401,2446,2452,2601,2646,2652,2701,2746,2752,2801,2846,2852,2901,2946,2952,5101,5146,5152,5201,5246"
2025-01-05,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,6,0,0,,"0341,0741,3541,3841,0301,0701,3501,3801,4041,6141,0346,0746,3546,3846,0041,0141,0541,0841,3041,3141,3341,3741,4001,6101,4046,6146,0001,0046,0101,0146,0501,0546,0801,0846,3001,3046,3101,3146,3301,3346,3701,3746,4141,4341,4541,4741,4841,6041,6341,6541,6741,6841,0241,0441,0641,0941,3241,3441,3641,3941,4101,4146,4301,4346,4501,4546,4701,4746,4801,4846,6001,6046,6301,6346,6501,6546,6701,6746,6801,6846,0246,0446,0646,0946,3246,3446,3646,3946,0201,0401,0601,0901,1041,1141,1341,1541,1741,1841,2041,2141,2341,2541,2741,2841,3201,3401,3601,3901,4241,4441,4641,4941,5041,5141,5341,5541,5741,5841,6241,6441,6641,6941,7041,7141,7341,7541,7741,7841,8041,8141,8341,8541,8741,8841,9041,9141,9341,9541,9741,9841,1001,1046,1101,1146,1301,1346,1501,1546,1701,1746,1801,1846,2001,2046,2101,2146,2301,2346,2501,2546,2701,2746,2801,2846,4201,4246,4401,4446,4601,4646,4901,4946,5001,5046,5101,5146,5301,5346,5501,5546,5701,5746,5801,5846,6201,6246,6401,6446,6601,6646,6901,6946,7001,7046,7101,7146,7301,7346,7501,7546"
2025-01-08,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,9,0,0,,"1154,1155,1141,4154,4155,4141,6154,6155,0154,0155,3154,3155,6141,0354,0355,0754,0755,3554,3555,3854,3855,4054,4055,0141,3141,0341,0741,3541,3841,4041,0054,0055,0554,0555,0854,0855,1054,1055,1354,1355,1554,1555,1754,1755,1854,1855,3054,3055,3354,3355,3754,3755,4354,4355,4554,4555,4754,4755,4854,4855,2154,2155,5154,5155,7154,7155,8154,8155,9154,9155,0041,0541,0841,1041,1341,1541,1741,1841,3041,3341,3741,4341,4541,4741,4841,6054,6055,6354,6355,6554,6555,6754,6755,6854,6855,2141,5141,7141,8141,9141,0254,0255,0454,0455,0654,0655,0954,0955,1254,1255,1454,1455,1654,1655,1954,1955,3254,3255,3454,3455,3654,3655,3954,3955,4254,4255,4454,4455,4654,4655,4954,4955,6041,6341,6541,6741,6841,0241,0441,0641,0941,1241,1441,1641,1941,3241,3441,3641,3941,4241,4441,4641,4941,2054,2055,2354,2355,2554,2555,2754,2755,2854,2855,5054,5055,5354,5355,5554,5555,5754,5755,5854,5855,6254,6255,6454,6455,6654,6655,6954,6955,7054,7055,7354,7355,7554,7555,7754,7755,7854,7855,8054,8055,8354,8355,8554,8555,8754,8755,8854"
2025-01-11,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,12,0,0,,"1141,1154,1155,4141,4154,4155,3841,3854,3855,3141,3154,3155,6141,6154,6155,0741,0754,0755,3541,3554,3555,4041,4054,4055,4241,4254,4255,0141,0154,0155,0341,0354,0355,2741,2754,2755,3741,3754,3755,4741,4754,4755,4841,4854,4855,2141,2154,2155,0841,0854,0855,1741,1754,1755,1841,1854,1855,3041,3054,3055,3241,3254,3255,3341,3354,3355,4341,4354,4355,4541,4554,4555,0041,0054,0055,0241,0254,0255,0541,0554,0555,1041,1054,1055,1241,1254,1255,1341,1354,1355,1541,1554,1555,2841,2854,2855,6741,6754,6755,6841,6854,6855,5141,5154,5155,7141,7154,7155,8141,8154,8155,9141,9154,9155,2041,2241,2341,2541,3441,3641,3941,4441,4641,4941,6041,6241,6341,6541,2054,2055,2254,2255,2354,2355,2554,2555,3454,3455,3654,3655,3954,3955,4454,4455,4654,4655,4954,4955,6054,6055,6254,6255,6354,6355,6554,6555,0441,0454,0455,0641,0654,0655,0941,0954,0955,1441,1454,1455,1641,1654,1655,1941,1954,1955,5741,5754,5755,5841,5854,5855,7741,7754,7755,7841,7854,7855,8741,8754,8755,8841,8854,8855,9741,9754,9755,9841,9854,9855,2441,2454"
2025-01-12,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,15,0,0,,"3864,3865,2064,1164,3854,4164,2065,4064,1165,4165,2054,3164,1154,2764,4065,4154,2164,3064,3564,6164,0764,4054,3165,2864,4264,4864,2765,0164,3764,2165,3065,3154,3565,6165,2754,0064,0364,0864,1064,1864,4764,0765,2154,2865,3054,3554,4265,4865,6154,3264,3364,0165,3765,0754,1764,2854,4254,4854,0065,0154,0365,0865,1065,1865,2264,2364,2564,3754,4364,4564,4765,6064,6864,3265,3365,0054,0854,1054,1854,4754,0354,1765,0264,0564,1264,1364,1564,6764,2265,2365,2565,3254,3354,4365,4565,6065,6865,3464,3664,3964,5164,7164,8164,9164,1754,2254,2354,2554,4354,4554,6054,6854,0265,0565,1265,1365,1565,2464,2664,2964,4464,4664,4964,5064,5864,6264,6364,6564,6765,7064,7864,8064,8864,9064,9864,3465,3665,3965,5165,7165,8165,9165,0254,0554,1254,1354,1554,6754,0464,0664,0964,1464,1664,1964,5764,7764,8764,9764,2465,2665,2965,3454,3654,3954,4465,4665,4965,5065,5154,5865,6265,6365,6565,7065,7154,7865,8065,8154,8865,9065,9154,9865,2454,2654,2954,4454,4654,4954,5054,5854,6254,6354,6554,7054,7854,8054,8854,9054,9854,0465"
2025-01-15,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,18,0,0,,"2264,3864,4264,2064,2265,3865,4164,4265,2065,2254,1164,3854,4064,4254,2054,2764,4165,1165,2164,4065,4154,3164,3264,1154,2765,2864,4054,2165,3064,3564,4864,6164,2754,0764,3165,3265,2154,2865,0164,0264,1264,3764,4764,3065,3154,3254,3565,4865,6165,2854,0765,0064,0364,0864,1064,1864,2364,2564,3554,6154,3054,4854,0165,0265,1265,3364,3765,4364,4564,4765,6264,0754,1764,0065,0154,0254,0365,0865,1065,1254,1865,2365,2565,3754,4754,6064,6864,3365,4365,4565,6265,0054,0354,0854,1054,1854,2354,2554,0564,1364,1564,1765,2464,2664,2964,6764,3354,4354,4554,6065,6254,6865,3464,3664,3964,4464,4664,4964,5164,5264,7164,7264,8164,8264,9164,9264,1754,6054,6854,0565,1365,1565,2465,2665,2965,6765,5064,5864,6364,6564,7064,7864,8064,8864,9064,9864,3465,3665,3965,4465,4665,4965,5165,5265,7165,7265,8165,8265,9165,9265,0554,1354,1554,2454,2654,2954,6754,0464,0664,0964,1464,1664,1964,5764,7764,8764,9764,3454,3654,3954,4454,4654,4954,5154,5254,7154,7254,8154,8254,9154,9254,5065,5865,6365,6565,7065,7865,8065,8865,9065"
2025-01-18,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,21,0,0,,"3864,2264,3892,4264,2064,2292,3564,3865,4292,2265,2092,3592,4164,4265,2065,3565,1164,4064,4192,1192,2764,4165,4092,1165,2164,3164,3264,2792,4065,2192,2564,2765,2864,3064,3192,3292,2165,3165,3265,4564,4864,6164,2592,2892,3092,0764,3764,2565,2865,3065,4592,4892,6192,8564,0164,0264,1264,4764,3792,0792,4565,4865,6165,8592,0064,0192,0292,0564,0765,0864,1064,1292,1564,1864,2364,2464,3364,3464,3765,4792,0364,8565,4364,4464,6264,8164,8264,9164,9264,0165,0265,1265,4765,0092,0392,0592,0892,1092,1592,1892,2392,2492,3392,3492,1764,4392,4492,6064,6292,6564,6864,8064,8192,8292,8864,9064,9192,9292,9564,9864,0065,0365,0565,0865,1065,1565,1865,2365,2465,3365,3465,9464,1792,4365,4465,6265,8165,8265,9165,9265,6092,6592,6892,8092,8892,9092,9492,9592,9892,0464,1364,1464,1765,2664,2964,3664,3964,6764,8764,9764,6065,6565,6865,8065,8865,9065,9565,9865,9465,4664,4964,5164,5264,7164,7264,0492,1392,1492,2692,2992,3692,3992,6792,8792,9792,4692,4992,5064,5192,5292,5564,5864,6364,6464,7064,7192,7292,7564,7864,8364"
2025-01-19,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,24,0,0,,"3864,3856,3892,2264,3564,2256,3556,4264,2064,2292,3592,4256,1164,4292,2056,2092,4164,1156,1192,4156,1864,4064,4192,2764,1856,4056,1892,4092,2164,2564,2756,2864,3164,3264,6164,9564,2792,2156,2556,2856,3156,3256,4564,4864,6156,9556,2192,2592,2892,3064,3192,3292,6192,9592,4556,4856,1264,1564,3056,4592,4892,8564,3092,0764,3764,1256,1556,8556,1064,1292,1592,8592,0164,0264,0564,0864,4764,6264,6564,6864,9164,9264,9864,0756,3756,0792,3792,1056,1092,0156,0256,0556,0856,4756,6256,6556,6856,9156,9256,9856,0064,0192,0292,0364,0592,0892,1764,2364,2464,2664,3364,3464,3664,4792,6064,6292,6592,6664,6892,9064,9192,9292,9464,9892,0056,0356,1756,2356,2456,2656,3356,3456,3656,4364,4464,4664,6056,6656,8164,8264,8864,9056,9456,0092,1792,2392,2492,2692,3392,3492,3692,6092,9092,0392,6692,9492,6764,9764,4356,4456,4656,8156,8256,8856,1364,1464,1664,4392,4492,4692,8064,8192,8292,8892,6756,9756,6792,9792,1356,1456,1656,8056,1392,1492,1692,8092,0464,0664,2964,3964,6364,6464,8764,9364,9664,0456,0656,2956,3956,6356"
2025-01-22,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,27,0,0,,"2064,3864,2056,3564,2264,3856,2052,1164,3556,2256,3852,1156,4264,3552,6164,2252,4256,1152,1564,4164,6156,1556,1864,4064,4156,4252,6152,2164,2564,2764,1856,4056,1552,4152,3164,9564,2156,2556,2756,2864,1852,4052,3064,3156,3264,4564,9556,2856,2192,2592,2792,1064,1264,4864,3056,3256,4556,3152,6564,8564,9552,2852,1056,1256,4856,3092,3292,4592,6064,6264,6864,6556,8556,0164,0564,0764,3764,9164,1052,1252,4852,6056,6256,6856,6592,8592,6664,0064,0156,0264,0556,0756,0864,1764,3756,4764,9064,9156,9264,9864,2364,2464,2664,6052,6252,6656,6852,0056,0256,0856,1756,4756,9056,9256,9856,0152,0364,0552,0752,3364,3464,3664,3752,6764,8164,9152,9464,2356,2456,2656,6652,0052,0252,0356,0852,1364,1464,1664,1752,3356,3456,3656,4364,4464,4664,4752,6756,8064,8156,8264,8864,9052,9252,9456,9852,2352,2452,2652,9764,1356,1456,1656,4356,4456,4656,8056,8256,8856,0352,3352,3452,3652,6364,6464,6752,8152,9452,9756,2964,1352,1452,1652,4352,4452,4652,6356,6456,8052,8252,8852,0464,0664,3964,5164,5564,7164,7564,8764,9364,9664"
2025-01-25,365,200,2,3,1.0,top3,top3,True,False,0.0,0,1.0,1.0,1.0,30,0,0,,"2064,2264,3864,3564,2041,2044,2764,1164,4264,2241,2244,3841,3844,3541,3544,4164,6164,2741,2744,1141,1144,1564,4064,4241,4244,1864,0364,2164,2564,4141,4144,4364,6141,6144,1541,1544,2864,4041,4044,3164,4564,9564,1841,1844,0341,0344,0764,2141,2144,2364,2541,2544,4341,4344,3064,3264,4864,2841,2844,1064,1264,0164,0564,3141,3144,3364,3764,4541,4544,4764,6564,8564,9541,9544,0741,0744,2341,2344,0064,0264,0864,1364,1764,3041,3044,3241,3244,4841,4844,6064,6264,6864,9164,1041,1044,1241,1244,0141,0144,0541,0544,2464,2664,3341,3344,3741,3744,4741,4744,6364,6541,6544,6664,6764,8541,8544,9064,9264,9864,0041,0044,0241,0244,0841,0844,1341,1344,1741,1744,6041,6044,6241,6244,6841,6844,3464,3664,4464,4664,8164,9141,9144,9364,9464,9764,2441,2444,2641,2644,6341,6344,6641,6644,6741,6744,1464,1664,8064,8264,8864,9041,9044,9241,9244,9841,9844,0464,0664,2964,3441,3444,3641,3644,4441,4444,4641,4644,6464,8141,8144,8364,8764,9341,9344,9441,9444,9741,9744,1441,1444,1641,1644,8041,8044,8241,8244,8841,8844,3964,4964"
