date,train_window_days,top,diversity_prefix,max_per_bucket,alpha,train_bucket,target_buckets,use_pairs,use_posdigit,w_posdigit,posdigit_positions,posdigit_alpha,w_digits,w_pairs,train_n_obs,hits_count,any_hit,hits,picks
2025-01-04,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,3,0,0,,"0301,0346,3501,3546,4001,4046,0001,0046,0501,0546,3001,3046,3301,3346,4301,4346,4501,4546,0101,0146,0201,0246,0401,0446,0601,0646,0701,0746,0801,0846,0901,0946,1001,1046,1301,1346,1501,1546,2001,2046,2301,2346,2501,2546,3101,3146,3201,3246,3401,3446,3601,3646,3701,3746,3801,3846,3901,3946,4101,4146,4201,4246,4401,4446,4601,4646,4701,4746,4801,4846,4901,4946,5001,5046,5301,5346,5501,5546,6001,6046,6301,6346,6501,6546,7001,7046,7301,7346,7501,7546,8001,8046,8301,8346,8501,8546,9001,9046,9301,9346,9501,9546,1101,1146,1201,1246,1401,1446,1601,1646,1701,1746,1801,1846,1901,1946,2101,2146,2201,2246,2401,2446,2601,2646,2701,2746,2801,2846,2901,2946,5101,5146,5201,5246,5401,5446,5601,5646,5701,5746,5801,5846,5901,5946,6101,6146,6201,6246,6401,6446,6601,6646,6701,6746,6801,6846,6901,6946,7101,7146,7201,7246,7401,7446,7601,7646,7701,7746,7801,7846,7901,7946,8101,8146,8201,8246,8401,8446,8601,8646,8701,8746,8801,8846,8901,8946,9101,9146,9201,9246,9401,9446,9601,9646,9701,9746,9801,9846,9901,9946"
2025-01-05,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,6,0,0,,"0341,0741,3541,3841,0301,0701,3501,3801,4041,6141,4001,6101,0041,0141,0541,0841,3041,3141,3341,3741,0001,0101,0501,0801,3001,3101,3301,3701,4141,4341,4541,4741,4841,6041,6341,6541,6741,6841,4101,4301,4501,4701,4801,6001,6301,6501,6701,6801,0241,0441,0641,0941,3241,3441,3641,3941,0201,0401,0601,0901,1041,1141,1341,1541,1741,1841,2041,2141,2341,2541,2741,2841,3201,3401,3601,3901,4241,4441,4641,4941,5041,5141,5341,5541,5741,5841,6241,6441,6641,6941,7041,7141,7341,7541,7741,7841,8041,8141,8341,8541,8741,8841,9041,9141,9341,9541,9741,9841,1001,1101,1301,1501,1701,1801,2001,2101,2301,2501,2701,2801,4201,4401,4601,4901,5001,5101,5301,5501,5701,5801,6201,6401,6601,6901,7001,7101,7301,7501,7701,7801,8001,8101,8301,8501,8701,8801,9001,9101,9301,9501,9701,9801,1241,1441,1641,1941,2241,2441,2641,2941,5241,5441,5641,5941,7241,7441,7641,7941,8241,8441,8641,8941,9241,9441,9641,9941,1201,1401,1601,1901,2201,2401,2601,2901,5201,5401,5601,5901,7201,7401,7601,7901,8201,8401,8601,8901,9201,9401,9601,9901"
2025-01-08,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,9,0,0,,"1154,1155,4154,4155,6154,6155,0154,0155,0354,0355,0754,0755,3154,3155,3554,3555,3854,3855,4054,4055,0054,0055,0554,0555,0854,0855,1054,1055,1354,1355,1554,1555,1754,1755,1854,1855,3054,3055,3354,3355,3754,3755,4354,4355,4554,4555,4754,4755,4854,4855,2154,2155,5154,5155,6054,6055,6354,6355,6554,6555,6754,6755,6854,6855,7154,7155,8154,8155,9154,9155,0254,0255,0454,0455,0654,0655,0954,0955,1254,1255,1454,1455,1654,1655,1954,1955,3254,3255,3454,3455,3654,3655,3954,3955,4254,4255,4454,4455,4654,4655,4954,4955,2054,2055,2354,2355,2554,2555,2754,2755,2854,2855,5054,5055,5354,5355,5554,5555,5754,5755,5854,5855,6254,6255,6454,6455,6654,6655,6954,6955,7054,7055,7354,7355,7554,7555,7754,7755,7854,7855,8054,8055,8354,8355,8554,8555,8754,8755,8854,8855,9054,9055,9354,9355,9554,9555,9754,9755,9854,9855,2254,2255,2454,2455,2654,2655,2954,2955,5254,5255,5454,5455,5654,5655,5954,5955,7254,7255,7454,7455,7654,7655,7954,7955,8254,8255,8454,8455,8654,8655,8954,8955,9254,9255,9454,9455,9654,9655,9954,9955"
2025-01-11,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,12,0,0,,"1154,1155,4141,4154,3841,3854,6154,6155,0741,0754,3141,3541,3554,4041,4054,4241,4254,3154,0141,0154,0341,0354,2741,2754,3741,3754,4741,4754,4841,4854,2154,2155,0841,0854,1741,1754,1841,1854,3041,3054,3241,3254,3341,3354,4341,4354,4541,4554,0041,0054,0241,0254,0541,0554,1041,1054,1241,1254,1341,1354,1541,1554,2841,2854,6741,6754,6841,6854,2041,2054,2241,2254,2341,2354,2541,2554,5141,5154,6041,6054,6241,6254,6341,6354,6541,6554,7141,7154,8141,8154,9141,9154,3441,3454,3641,3654,3941,3954,4441,4454,4641,4654,4941,4954,0441,0454,0641,0654,0941,0954,1441,1454,1641,1654,1941,1954,5741,5754,5841,5854,7741,7754,7841,7854,8741,8754,8841,8854,9741,9754,9841,9854,2441,2454,2641,2654,2941,2954,5041,5054,5241,5254,5341,5354,5541,5554,6441,6454,6641,6654,6941,6954,7041,7054,7241,7254,7341,7354,7541,7554,8041,8054,8241,8254,8341,8354,8541,8554,9041,9054,9241,9254,9341,9354,9541,9554,5441,5454,5641,5654,5941,5954,7441,7454,7641,7654,7941,7954,8441,8454,8641,8654,8941,8954,9441,9454,9641,9654,9941,9954"
2025-01-12,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,15,0,0,,"3864,3865,2064,1164,4164,2065,4064,1165,4165,2764,4065,3164,3564,6164,0764,2765,2164,3064,4264,2864,4864,3165,3565,6165,0164,0364,0765,3764,2165,3065,4265,0064,0864,1064,1864,4764,2865,4865,0165,0365,3264,3364,3765,1764,0065,0865,1065,1865,2264,2364,2564,4364,4564,4765,6064,6864,3265,3365,1765,0264,0564,1264,1364,1564,6764,2265,2365,2565,4365,4565,6065,6865,0265,0565,1265,1365,1565,3464,3664,3964,5164,6264,6364,6564,6765,7164,8164,9164,2464,2664,2964,4464,4664,4964,5064,5864,7064,7864,8064,8864,9064,9864,3465,3665,3965,5165,6265,6365,6565,7165,8165,9165,0464,0664,0964,1464,1664,1964,5764,7764,8764,9764,2465,2665,2965,4465,4665,4965,5065,5865,7065,7865,8065,8865,9065,9865,0465,0665,0965,1465,1665,1965,5765,7765,8765,9765,5264,5364,5564,6464,6664,6964,7264,7364,7564,8264,8364,8564,9264,9364,9564,5265,5365,5565,6465,6665,6965,7265,7365,7565,8265,8365,8565,9265,9365,9565,5464,5664,5964,7464,7664,7964,8464,8664,8964,9464,9664,9964,5465,5665,5965,7465,7665,7965,8465,8665,8965,9465,9665,9965"
2025-01-15,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,18,0,0,,"2264,3864,4264,2064,2265,3865,4164,4265,2065,1164,4064,2764,4165,1165,4065,2164,2765,3164,3264,3564,6164,2864,0764,3064,4864,2165,3165,3265,3565,6165,2865,0164,0264,0364,0765,1264,3764,4764,3065,4865,0064,0864,1064,1864,2364,2564,0165,0265,0365,1265,3364,3765,4364,4564,4765,6264,1764,0065,0865,1065,1865,6064,6864,2365,2565,3365,4365,4565,6265,0564,1364,1564,1765,6764,6065,6865,2464,2664,2964,3464,3664,3964,4464,4664,4964,5164,5264,7164,7264,8164,8264,9164,9264,0565,1365,1565,6364,6564,6765,5064,5864,7064,7864,8064,8864,9064,9864,2465,2665,2965,3465,3665,3965,4465,4665,4965,5165,5265,7165,7265,8165,8265,9165,9265,6365,6565,0464,0664,0964,1464,1664,1964,5764,7764,8764,9764,5065,5865,7065,7865,8065,8865,9065,9865,5364,5564,6464,6664,6964,7364,7564,8364,8564,9364,9564,0465,0665,0965,1465,1665,1965,5765,7765,8765,9765,5365,5565,6465,6665,6965,7365,7565,8365,8565,9365,9565,5464,5664,5964,7464,7664,7964,8464,8664,8964,9464,9664,9964,5465,5665,5965,7465,7665,7965,8465,8665,8965,9465,9665,9965"
2025-01-18,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,21,0,0,,"3864,2264,3892,4264,2064,2292,3564,4292,2092,3592,4164,1164,4064,4192,1192,2764,4092,2792,2164,3164,3264,6164,2192,2564,2864,3064,3192,3292,0764,4564,4864,6192,8564,2592,2892,3092,0792,3764,4592,4892,8592,0364,0164,0264,1264,4764,3792,0192,0292,1292,4792,0392,0064,0564,0864,1064,1564,1864,2364,2464,3364,3464,0092,0592,0892,1092,1592,1892,4364,4464,6264,8164,8264,9164,9264,9464,2392,2492,3392,3492,1764,4392,4492,6064,6292,6564,6864,8064,8192,8292,8864,9064,9192,9292,9492,9564,9864,1792,6092,6592,6892,8092,8892,9092,9592,9892,0464,1364,1464,6764,8764,9764,0492,1392,1492,6792,8792,9792,2664,2964,3664,3964,4664,4964,5164,5264,6364,6464,7164,7264,8364,8464,9364,2692,2992,3692,3992,4692,4992,5064,5192,5292,5564,5864,6392,6492,7064,7192,7292,7564,7864,8392,8492,9392,5092,5592,5892,7092,7592,7892,0664,0964,1664,1964,5764,7764,0692,0992,1692,1992,5792,7792,5364,5464,6664,6964,7364,7464,8664,8964,9664,9964,5392,5492,6692,6992,7392,7492,8692,8992,9692,9992,5664,5964,7664,7964,5692,5992,7692,7992"
2025-01-19,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,24,0,0,,"3864,3892,2264,3564,4264,2064,2292,3592,1164,4292,2092,1192,4164,1864,4064,4192,2764,1892,4092,6164,9564,2792,6192,9592,2164,2564,2864,3164,3264,4564,4864,8564,2192,2592,2892,3064,3192,3292,0764,1264,1564,4592,4892,8592,3092,0792,3764,1064,1292,1592,0164,0264,0364,0564,0864,4764,6264,6564,6664,6864,9164,9264,9464,9864,3792,1092,0064,0192,0292,0392,0592,0892,1764,4792,6064,6292,6592,6692,6892,9064,9192,9292,9492,9892,2364,2464,2664,3364,3464,3664,0092,1792,6092,9092,4364,4464,4664,8164,8264,8864,2392,2492,2692,3392,3492,3692,6764,9764,1364,1464,1664,4392,4492,4692,8064,8192,8292,8892,6792,9792,1392,1492,1692,8092,0464,0664,6364,6464,8764,9364,9664,0492,0692,6392,6492,8792,9392,9692,2964,3964,4964,5164,5264,5564,5864,7164,7264,7564,7864,8364,8464,8664,2992,3992,1964,4992,5064,5192,5292,5592,5892,7064,7192,7292,7592,7892,8392,8492,8692,1992,5092,7092,0964,5764,6964,7764,9964,0992,5792,6992,7792,9992,5364,5464,5664,7364,7464,7664,8964,5392,5492,5692,7392,7492,7692,8992,5964,7964,5992,7992"
2025-01-22,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,27,0,0,,"2064,3864,2056,3564,2264,3856,1164,3556,2256,4264,6164,1156,4256,1564,4164,6156,1864,4064,1556,4156,2764,1856,4056,9564,2756,2164,2564,9556,3164,2864,2156,2556,3064,3264,4564,8564,3156,2856,1064,1264,4864,6564,3056,3256,4556,8556,0764,6664,6064,6264,6864,1056,1256,4856,6556,0756,0164,0564,3764,9164,6056,6256,6656,6856,0064,0264,0364,0864,1764,4764,9064,9264,9464,9864,0156,0556,3756,9156,2364,2464,2664,6764,0056,0256,0856,1756,4756,9056,9256,9856,0356,9456,3364,3464,3664,8164,2356,2456,2656,1364,1464,1664,4364,4464,4664,6756,8064,8264,8864,3356,3456,3656,8156,9764,6364,6464,1356,1456,1656,4356,4456,4656,8056,8256,8856,9756,6356,6456,0464,0664,8764,9364,9664,2964,0456,0656,8756,9356,9656,3964,5164,5564,7164,7564,2956,1964,4964,5064,5264,5864,7064,7264,7864,8364,8464,8664,3956,5156,5556,7156,7556,6964,1956,4956,5056,5256,5856,7056,7256,7856,8356,8456,8656,6956,0964,5764,7764,9964,0956,5756,7756,9956,5364,5464,5664,7364,7464,7664,8964,5356,5456,5656,7356,7456,7656,8956,5964,7964,5956,7956"
2025-01-25,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,30,0,0,,"2064,3864,2264,3564,2041,2764,1164,4264,3841,2241,6164,3541,4164,2741,1141,1564,4064,4241,0364,1864,4364,6141,4141,1541,4041,2164,2564,9564,0341,0764,1841,4341,2864,3164,4564,2364,2141,2541,3064,3264,4864,8564,9541,0741,1064,1264,2841,0164,0564,3364,3764,4764,6564,3141,4541,0064,0264,0864,1364,1764,2341,6064,6264,6664,6864,3041,3241,4841,8541,9164,6364,6764,1041,1241,0141,0541,3341,3741,4741,6541,2464,2664,9064,9264,9464,9864,0041,0241,0841,1341,1741,6041,6241,6641,6841,9364,9764,3464,3664,4464,4664,8164,9141,6341,6741,1464,1664,2441,2641,8064,8264,8864,9041,9241,9441,9841,0464,0664,6464,8364,8764,9341,9741,3441,3641,4441,4641,8141,1441,1641,8041,8241,8841,2964,9664,0441,0641,6441,8341,8741,3964,4964,5164,5564,7164,7564,1964,2941,5064,5264,5864,7064,7264,7864,8464,8664,9641,0964,5364,5764,6964,7364,7764,3941,4941,5141,5541,7141,7541,1941,5041,5241,5841,7041,7241,7841,8441,8641,9964,0941,5341,5741,6941,7341,7741,5464,5664,7464,7664,8964,9941,5441,5641,7441,7641,8941,5964,7964,5941,7941"
